country,continent,covid_cases,covid_deaths,land_area_km2,population
Afghanistan,Asia,46498,1774,652000,39306195
Albania,Europe,37625,798,28748,2876490
Algeria,Africa,83199,2431,2381741,44190030
Andorra,Europe,6712,76,468,77317
Angola,Africa,15139,348,1246620,33312843
Antigua And Barbuda,The Caribean,0,0,440,98271
Argentina,South America,1418807,38473,2780400,45370984
Armenia,Asia,135124,2164,29743,2965558
Australia,Australia,27904,908,7617930,25625341
Austria,Europe,278182,2904,83879,9027998
Azerbaijan,Europe,118195,1361,86600,10177781
Bahamas,The Caribean,7517,163,13878,394833
Bahrain,Asia,86956,341,780,1727565
Bangladesh,Asia,464932,6644,148460,165383477
Barbados,North America,276,7,431,287522
Belarus,Europe,135008,1151,207595,9448028
Belgium,Europe,576503,16547,30689,11610784
Belize,Central America,5743,147,22966,400720
Benin,Africa,3015,43,114763,12260889
Bhutan,Asia,410,0,38394,775208
Bolivia,South America,0,0,1098581,11740763
Bosnia and Herzegovina,Europe,87374,2620,51197,3272331
Botswana,Africa,9992,31,581730,2372028
Brazil,South America,6314740,172833,8515767,213196006
Brunei,Asia,0,0,5765,439250
Bulgaria,Europe,142486,3814,110994,6926881
Burkina Faso,Africa,2886,68,274200,21152326
Burundi,Africa,689,1,27834,12045230
Cambodia,Asia,326,0,181035,16817449
Cameroon,Africa,24487,441,475442,26831876
Canada,North America,370278,12032,9984670,37881943
Central African Republic,Africa,4918,63,622984,4865703
Chad,Africa,1688,101,1284000,16631098
Chile,South America,551743,15410,756950,19185504
China,Asia,93577,4750,9600000,1441654790
Colombia,South America,1308376,36584,1138910,51112670
Comoros,Africa,611,7,1861,877576
Congo,Africa,5774,94,2345410,5576861
Costa Rica,North America,137093,1690,51100,5113783
Cote D'Ivoire,Africa,0,0,322463,26661011
Croatia,Europe,126612,1712,56594,4094735
Cuba,North America,8284,135,109884,11323735
Cyprus,Europe,10383,48,9251,1211064
Czech Republic,Europe,0,0,78866,10717290
Denmark,Europe,79352,829,42933,5800754
Djibouti,Africa,5679,61,23200,994124
Dominica,North America,85,0,750,72061
Dominican Republic,North America,143988,2331,48442,10894019
Ecuador,South America,192685,13461,283560,17757364
Egypt,Africa,115911,6650,1002450,103162538
El Salvador,Central America,38405,1114,21041,6499959
Equatorial Guinea,Africa,5153,85,28050,1423195
Eritrea,Africa,577,0,117600,3567323
Estonia,Europe,12052,112,45227,1326908
Ethiopia,Africa,110074,1706,1127127,116197488
Fiji,Oceana,42,2,18333,899202
Finland,Europe,24629,393,338440,5544322
France,Europe,2179481,51965,643801,65334006
Gabon,Africa,9191,59,267667,2248450
Gambia,Africa,3742,123,11295,2446240
Georgia,Europe,135584,1267,153909,3985979
Germany,Europe,1053869,16248,357386,83896324
Ghana,Africa,51667,323,238535,31352348
Greece,Europe,104227,2321,131957,10401951
Grenada,North America,41,0,344,112742
Guatemala,North America,122062,4171,108889,18057824
Guinea,Africa,13097,76,245857,13287738
Guinea-Bissau,Africa,2422,43,36125,1988124
Guyana,South America,5376,150,214969,788148
Haiti,North America,9294,233,27750,11461636
Honduras,Central America,107888,2909,112492,9971969
