country,birth_rt,currency_code,fertility_rt,infant_mortality_rt,life_expectancy,official_language,physicians_per_thousand,lat,long,ag_land_pct,land_area_km2,consumer_price_index,gross_domestic_product_usd(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,tax_revenue_pct,unemployment_rt,country_edited,continent,covid_cases,covid_deaths,total_area_km2,average_population
Afghanistan,32.49,AFN,4.47,47.9,64.5,Pashto,0.28,33.93911,67.709953,58.1,652230.0,149.9,19.1014,104.0,9.7,9.3,11.12,Afghanistan,Asia,46498,1774,652000,38673974
Albania,11.78,ALL,1.62,7.8,78.5,Albanian,1.2,41.153332,20.168331,43.1,28748.0,119.05,15.2781,107.0,55.0,18.6,12.33,Albania,Europe,37625,798,28748,2865340
Algeria,24.28,DZD,3.02,20.1,76.7,Arabic,1.72,28.033886,1.659626,17.4,2381741.0,151.36,169.9882,109.9,51.4,37.2,11.7,Algeria,Africa,83199,2431,2381741,43621542
Andorra,7.2,EUR,1.27,2.7,,Catalan,3.33,42.506285,1.521801,40.0,468.0,,3.1541,106.4,,,,Andorra,Europe,6712,76,468,77230
Angola,40.73,AOA,5.52,51.6,60.8,Portuguese,0.21,-11.202692,17.873887,47.5,1246700.0,261.73,94.6354,113.5,9.3,9.2,6.89,Angola,Africa,15139,348,1246620,32569069
Antigua and Barbuda,15.33,XCD,1.99,5.0,76.9,English,2.76,17.060816,-61.796428,20.5,443.0,113.81,1.7278,105.0,24.8,16.5,,Antigua and Barbuda,The Caribean,0,0,440,97694
Argentina,17.02,ARS,2.26,8.8,76.5,Spanish,3.96,-38.416097,-63.616672,54.3,2780400.0,232.75,449.6634,109.7,90.0,10.1,9.79,Argentina,South America,1418807,38473,2780400,45154848
Armenia,13.99,AMD,1.76,11.0,74.9,Armenian,4.4,40.069099,45.038189,58.9,29743.0,129.18,13.6728,92.7,54.6,20.9,16.99,Armenia,Asia,135124,2164,29743,2961644
Australia,12.6,AUD,1.74,3.1,82.7,,3.68,-25.274398,133.775136,48.2,7741220.0,119.8,1392.6806,100.3,113.1,23.0,5.27,Australia,Australia,27904,908,7617930,25695973
Austria,9.7,EUR,1.47,2.9,81.6,German,5.17,47.516231,14.550072,32.4,83871.0,118.06,446.3147,103.1,85.1,25.4,4.67,Austria,Europe,278182,2904,83879,8952532
