country,capital,covid_cases,covid_deaths,president_name,president_gender,president_appointment_start_date,president_appointment_end_date,continent,size,population
Afghanistan,Kabul,"46,498","1,774",Ashraf Ghani,Male,2020-03-09,,Asia,"652,000 km²","39,306,195"
Albania,Tirana,"37,625",798,Ilir Rexhep Meta,Male,2017-07-24,,Europe,"28,748 km²","2,876,490"
Algeria,Algiers,"83,199","2,431",None,None,None,None,Africa,"2,381,741 km²","44,190,030"
Andorra,Andorra la Vella,"6,712",76,None,None,None,None,Europe,468 km²,"77,317"
Angola,Luanda,"15,139",348,None,None,None,None,Africa,"1,246,620 km²","33,312,843"
Antigua And Barbuda,St. John's,0,0,None,None,None,None,The Caribean,440 km²,"98,271"
Argentina,Buenos Aires,"1,418,807","38,473",None,None,None,None,South America,"2,780,400 km²","45,370,984"
Armenia,Yerevan,"135,124","2,164",None,None,None,None,Asia,"29,743 km²","2,965,558"
Australia,Canberra,"27,904",908,None,None,None,None,Australia,"7,617,930 km²","25,625,341"
Austria,Vienna,"278,182","2,904",None,None,None,None,Europe,"83,879 km²","9,027,998"
Azerbaijan,Baku,"118,195","1,361",None,None,None,None,Europe,"86,600 km²","10,177,781"
Bahamas,Nassau,"7,517",163,None,None,None,None,The Caribean,"13,878 km²","394,833"
Bahrain,Manama,"86,956",341,None,None,None,None,Asia,780 km²,"1,727,565"
Bangladesh,Dhaka,"464,932","6,644",None,None,None,None,Asia,"148,460 km²","165,383,477"
Barbados,Bridgetown,276,7,None,None,None,None,North America,431 km²,"287,522"
Belarus,Minsk,"135,008","1,151",None,None,None,None,Europe,"207,595 km²","9,448,028"
Belgium,Brussels,"576,503","16,547",None,None,None,None,Europe,"30,689 km²","11,610,784"
Belize,Belmopan,"5,743",147,None,None,None,None,Central America,"22,966 km²","400,720"
Benin,Porto-Novo,"3,015",43,None,None,None,None,Africa,"114,763 km²","12,260,889"
Bhutan,Thimphu,410,0,None,None,None,None,Asia,"38,394 km²","775,208"
Bolivia,Sucre,0,0,None,None,None,None,South America,"1,098,581 km²","11,740,763"
Bosnia and Herzegovina,Sarajevo,"87,374","2,620",None,None,None,None,Europe,"51,197 km²","3,272,331"
Botswana,Gaborone,"9,992",31,None,None,None,None,Africa,"581,730 km²","2,372,028"
Brazil,Brasilia,"6,314,740","172,833",None,None,None,None,South America,"8,515,767 km²","213,196,006"
Brunei,Bandar Seri Begawan,0,0,None,None,None,None,Asia,"5,765 km²","439,250"
Bulgaria,Sofia,"142,486","3,814",None,None,None,None,Europe,"110,994 km²","6,926,881"
Burkina Faso,Ouagadougou,"2,886",68,None,None,None,None,Africa,"274,200 km²","21,152,326"
Burundi,Bujumbura,689,1,None,None,None,None,Africa,"27,834 km²","12,045,230"
Cambodia,Phnom Penh,326,0,None,None,None,None,Asia,"181,035 km²","16,817,449"
Cameroon,Yaounde,"24,487",441,None,None,None,None,Africa,"475,442 km²","26,831,876"
Canada,Ottawa,"370,278","12,032",None,None,None,None,North America,"9,984,670 km²","37,881,943"
Central African Republic,Bangui,"4,918",63,None,None,None,None,Africa,"622,984 km²","4,865,703"
Chad,N'Djamena,"1,688",101,None,None,None,None,Africa,"1,284,000 km²","16,631,098"
Chile,Santiago,"551,743","15,410",None,None,None,None,South America,"756,950 km²","19,185,504"
China,Beijing,"93,577","4,750",None,None,None,None,Asia,"9,600,000 km²","1,441,654,790"
Colombia,Bogota,"1,308,376","36,584",None,None,None,None,South America,"1,138,910 km²","51,112,670"
Comoros,Moroni,611,7,None,None,None,None,Africa,"1,861 km²","877,576"
Congo,Brazzaville,"5,774",94,None,None,None,None,Africa,"2,345,410 km²","5,576,861"
Costa Rica,San Jose,"137,093","1,690",None,None,None,None,North America,"51,100 km²","5,113,783"
Cote D'Ivoire,Yamoussoukro,0,0,None,None,None,None,Africa,"322,463 km²","26,661,011"
Croatia,Zagreb,"126,612","1,712",None,None,None,None,Europe,"56,594 km²","4,094,735"
Cuba,Havana,"8,284",135,None,None,None,None,North America,"109,884 km²","11,323,735"
Cyprus,Nicosia,"10,383",48,None,None,None,None,Europe,"9,251 km²","1,211,064"
Czech Republic,Prague,0,0,None,None,None,None,Europe,"78,866 km²","10,717,290"
Denmark,Copenhagen,"79,352",829,None,None,None,None,Europe,"42,933 km²","5,800,754"
Djibouti,Djibouti,"5,679",61,None,None,None,None,Africa,"23,200 km²","994,124"
